time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-06-14 21:06:31.863313,0:04:47.570000,OFF,MODE_15W_6CORE,15,23,18,19,11,13,0,0,0,1277468,1277468,0,150,OFF,OFF,OFF,0.0,25.5,26.0,27.5,26.5,26.45,2662,2653
2021-06-14 21:06:31.865738,0:04:47.570000,OFF,MODE_15W_6CORE,15,23,18,19,11,13,0,0,0,1277468,1277468,0,150,OFF,OFF,OFF,0.0,25.5,26.0,27.5,26.5,26.45,2662,2653
2021-06-14 21:06:32.432264,0:04:48.140000,OFF,MODE_15W_6CORE,7,64,21,11,14,42,0,0,0,1292776,1292776,0,150,OFF,OFF,OFF,0.0,26.5,27.0,28.5,27.0,27.45,3358,3358
2021-06-14 21:06:32.972883,0:04:48.680000,OFF,MODE_15W_6CORE,21,16,16,19,20,42,0,0,0,1286236,1286236,0,150,OFF,OFF,OFF,0.0,26.5,27.0,28.5,27.0,27.45,3031,3194
2021-06-14 21:06:33.504715,0:04:49.210000,OFF,MODE_15W_6CORE,11,16,13,12,14,9,0,0,0,1285812,1285812,0,150,OFF,OFF,OFF,0.0,26.5,27.0,28.5,27.0,27.45,2621,3003
2021-06-14 21:06:34.023703,0:04:49.730000,OFF,MODE_15W_6CORE,10,13,13,6,6,10,0,0,0,1285824,1285824,0,150,OFF,OFF,OFF,0.0,26.5,27.0,28.5,27.0,27.45,2334,2836
2021-06-14 21:06:34.550162,0:04:50.260000,OFF,MODE_15W_6CORE,17,18,16,18,19,24,0,0,0,1285376,1285376,0,150,OFF,OFF,OFF,0.0,26.5,27.0,28.5,27.5,27.45,2539,2776
2021-06-14 21:06:35.086198,0:04:50.790000,OFF,MODE_15W_6CORE,20,11,19,21,15,10,0,0,0,1285900,1285900,0,150,OFF,OFF,OFF,0.0,26.5,27.0,28.5,27.0,27.45,2621,2750
2021-06-14 21:06:35.605890,0:04:51.310000,OFF,MODE_15W_6CORE,11,11,14,9,16,16,0,0,0,1286364,1286364,0,150,OFF,OFF,OFF,0.0,26.0,27.0,28.5,27.5,27.45,2539,2720
2021-06-14 21:06:36.124779,0:04:51.830000,OFF,MODE_15W_6CORE,11,11,9,11,6,12,0,0,0,1286328,1286328,0,150,OFF,OFF,OFF,0.0,26.5,27.0,28.5,27.0,27.45,2293,2667
