time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-06-22 21:09:18.866711,0:04:20.990000,OFF,MODE_15W_6CORE,10,47,7,46,6,42,0,0,0,1283152,1283152,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.3,3317,3317
2021-06-22 21:09:18.869209,0:04:21,OFF,MODE_15W_6CORE,10,47,7,46,6,42,0,0,0,1283152,1283152,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.3,3317,3317
2021-06-22 21:09:19.405946,0:04:21.530000,OFF,MODE_15W_6CORE,20,28,21,27,20,16,0,0,0,1276456,1276456,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.45,3112,3214
2021-06-22 21:09:19.930433,0:04:22.060000,OFF,MODE_15W_6CORE,13,15,12,11,14,5,0,0,0,1276348,1276348,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.45,2621,3016
2021-06-22 21:09:20.461731,0:04:22.590000,OFF,MODE_15W_6CORE,11,13,9,13,17,7,0,0,0,1275480,1275480,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.0,29.0,29.6,2375,2856
2021-06-22 21:09:20.994786,0:04:23.120000,OFF,MODE_15W_6CORE,20,23,16,20,15,18,10,0,0,1275184,1275184,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.0,29.6,2498,2784
2021-06-22 21:09:21.538405,0:04:23.670000,OFF,MODE_15W_6CORE,16,22,9,11,24,13,0,0,0,1276792,1276792,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.0,29.3,2662,2764
2021-06-22 21:09:22.074784,0:04:24.200000,OFF,MODE_15W_6CORE,16,16,7,11,14,14,0,0,0,1276352,1276352,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.0,29.3,2539,2732
2021-06-22 21:09:22.603597,0:04:24.730000,OFF,MODE_15W_6CORE,11,17,16,7,9,16,0,0,0,1276188,1276188,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.0,29.6,2375,2687
2021-06-22 21:09:23.144480,0:04:25.270000,OFF,MODE_15W_6CORE,20,14,13,16,16,9,0,0,0,1275340,1275340,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.0,29.0,29.6,2375,2652
2021-06-22 21:09:23.675374,0:04:25.800000,OFF,MODE_15W_6CORE,20,19,15,17,25,13,0,0,0,1275604,1275604,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2662,2653
2021-06-22 21:09:24.203035,0:04:26.330000,OFF,MODE_15W_6CORE,18,13,14,12,14,12,0,0,0,1276184,1276184,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2662,2654
2021-06-22 21:09:24.742305,0:04:26.870000,OFF,MODE_15W_6CORE,11,11,9,12,11,9,0,0,0,1276396,1276396,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2416,2634
2021-06-22 21:09:25.283585,0:04:27.410000,OFF,MODE_15W_6CORE,20,9,12,14,14,13,0,0,0,1274916,1274916,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.0,29.6,2334,2611
2021-06-22 21:09:25.806770,0:04:27.930000,OFF,MODE_15W_6CORE,17,25,17,20,19,18,0,0,0,1275856,1275856,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2621,2612
2021-06-22 21:09:26.346036,0:04:28.470000,OFF,MODE_15W_6CORE,15,19,16,3,13,18,0,0,0,1276524,1276524,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2621,2612
2021-06-22 21:09:26.891716,0:04:29.020000,OFF,MODE_15W_6CORE,16,7,12,9,14,12,0,0,0,1275920,1275920,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.45,2457,2602
2021-06-22 21:09:27.422441,0:04:29.550000,OFF,MODE_15W_6CORE,15,13,18,9,16,5,0,0,0,1275280,1275280,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.0,29.5,29.45,2293,2584
2021-06-22 21:09:27.957452,0:04:30.090000,OFF,MODE_15W_6CORE,32,21,18,12,6,24,0,0,0,1275488,1275488,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2539,2582
2021-06-22 21:09:28.494693,0:04:30.620000,OFF,MODE_15W_6CORE,23,17,20,20,16,18,0,0,0,1276748,1276748,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2744,2590
2021-06-22 21:09:29.025252,0:04:31.150000,OFF,MODE_15W_6CORE,13,11,9,11,7,7,0,0,0,1276684,1276684,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.75,2539,2588
2021-06-22 21:09:29.540978,0:04:31.670000,OFF,MODE_15W_6CORE,13,9,13,11,10,16,0,0,0,1276220,1276220,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.0,29.75,2293,2574
2021-06-22 21:09:30.075446,0:04:32.200000,OFF,MODE_15W_6CORE,24,15,15,15,18,17,0,0,0,1275580,1275580,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.75,2498,2570
2021-06-22 21:09:30.622984,0:04:32.750000,OFF,MODE_15W_6CORE,23,16,20,18,13,13,0,0,0,1276556,1276556,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2662,2574
2021-06-22 21:09:31.150684,0:04:33.280000,OFF,MODE_15W_6CORE,11,9,11,13,15,14,0,0,0,1276480,1276480,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2539,2573
2021-06-22 21:09:31.685151,0:04:33.810000,OFF,MODE_15W_6CORE,14,11,12,11,15,9,0,0,0,1276444,1276444,0,150,OFF,OFF,OFF,0.0,29.0,29.0,30.5,29.5,29.6,2334,2563
2021-06-22 21:09:32.212557,0:04:34.340000,OFF,MODE_15W_6CORE,21,17,11,16,11,15,6,0,0,1275556,1275556,0,150,OFF,OFF,OFF,0.0,28.5,29.5,30.5,29.5,29.6,2375,2556
2021-06-22 21:09:32.755000,0:04:34.880000,OFF,MODE_15W_6CORE,17,25,17,11,21,15,0,0,0,1276296,1276296,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2662,2560
2021-06-22 21:09:33.283664,0:04:35.410000,OFF,MODE_15W_6CORE,13,9,14,12,16,10,0,0,0,1276528,1276528,0,150,OFF,OFF,OFF,0.0,28.5,29.5,30.5,29.5,29.6,2539,2559
2021-06-22 21:09:33.804584,0:04:35.930000,OFF,MODE_15W_6CORE,7,15,9,6,13,9,0,0,0,1276676,1276676,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2375,2553
2021-06-22 21:09:34.341883,0:04:36.470000,OFF,MODE_15W_6CORE,16,17,18,13,16,11,0,0,0,1275732,1275732,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2375,2547
2021-06-22 21:09:34.880789,0:04:37.010000,OFF,MODE_15W_6CORE,20,20,18,13,17,18,0,0,0,1276252,1276252,0,150,OFF,OFF,OFF,0.0,29.0,29.0,30.5,29.5,29.6,2580,2548
2021-06-22 21:09:35.395222,0:04:37.520000,OFF,MODE_15W_6CORE,16,11,18,12,9,12,8,0,0,1276596,1276596,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2539,2547
2021-06-22 21:09:35.928649,0:04:38.060000,OFF,MODE_15W_6CORE,9,20,13,11,5,7,0,0,0,1277024,1277024,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2375,2542
2021-06-22 21:09:36.458035,0:04:38.590000,OFF,MODE_15W_6CORE,17,13,11,9,15,15,0,0,0,1275264,1275264,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.6,2293,2535
2021-06-22 21:09:37.007812,0:04:39.140000,OFF,MODE_15W_6CORE,21,20,20,21,16,14,12,0,0,1275388,1275388,0,150,OFF,OFF,OFF,0.0,28.5,29.5,30.5,29.5,29.95,2580,2536
2021-06-22 21:09:37.544171,0:04:39.670000,OFF,MODE_15W_6CORE,13,18,16,15,9,11,0,0,0,1276336,1276336,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.95,2621,2538
2021-06-22 21:09:38.075206,0:04:40.200000,OFF,MODE_15W_6CORE,15,11,15,16,3,9,0,0,0,1276516,1276516,0,150,OFF,OFF,OFF,0.0,28.5,29.5,30.5,29.5,29.6,2457,2536
2021-06-22 21:09:38.620067,0:04:40.750000,OFF,MODE_15W_6CORE,14,18,12,7,12,11,0,0,0,1275428,1275428,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.6,2293,2530
2021-06-22 21:09:39.152088,0:04:41.280000,OFF,MODE_15W_6CORE,18,19,14,20,18,20,0,0,0,1275836,1275836,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.95,2539,2530
2021-06-22 21:09:39.683716,0:04:41.810000,OFF,MODE_15W_6CORE,16,14,16,15,12,19,0,0,0,1276284,1276284,0,150,OFF,OFF,OFF,0.0,28.5,29.0,30.5,29.5,29.95,2662,2533
2021-06-22 21:09:40.216254,0:04:42.340000,OFF,MODE_15W_6CORE,13,20,9,9,20,6,11,0,0,1276672,1276672,0,150,OFF,OFF,OFF,0.0,29.0,29.5,31.0,29.5,29.95,2498,2532
2021-06-22 21:09:40.736215,0:04:42.860000,OFF,MODE_15W_6CORE,9,12,9,7,13,5,0,0,0,1276160,1276160,0,150,OFF,OFF,OFF,0.0,29.0,29.5,30.5,29.5,29.95,2252,2526
