time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-06-23 01:56:15.864346,4:51:18.020000,OFF,MODE_15W_6CORE,37,39,39,14,11,29,0,1,1,1280016,1280016,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.5,42.5,43.3,3487,3487
2021-06-23 01:56:15.866400,4:51:18.020000,OFF,MODE_15W_6CORE,37,39,39,14,11,29,0,1,1,1280016,1280016,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.5,42.5,43.3,3487,3487
2021-06-23 01:56:16.415925,4:51:18.570000,OFF,MODE_15W_6CORE,15,21,43,18,19,20,0,0,0,1278244,1278244,0,150,OFF,OFF,OFF,0.0,42.0,43.0,44.0,42.5,43.3,3199,3343
2021-06-23 01:56:16.987630,4:51:19.140000,OFF,MODE_15W_6CORE,19,10,10,14,7,15,0,0,0,1277880,1277880,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,42.5,43.3,2789,3158
2021-06-23 01:56:17.541524,4:51:19.700000,OFF,MODE_15W_6CORE,18,9,12,19,18,9,0,0,0,1278028,1278028,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,42.5,43.3,2625,3025
2021-06-23 01:56:18.109714,4:51:20.260000,OFF,MODE_15W_6CORE,14,17,16,17,15,13,0,0,0,1277696,1277696,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,42.5,43.15,2543,2928
2021-06-23 01:56:18.669693,4:51:20.820000,OFF,MODE_15W_6CORE,20,27,19,18,22,12,0,0,0,1277552,1277552,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.15,2748,2898
2021-06-23 01:56:19.231911,4:51:21.390000,OFF,MODE_15W_6CORE,21,26,19,14,14,21,0,0,0,1278044,1278044,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,42.5,43.45,2789,2882
2021-06-23 01:56:19.774751,4:51:21.930000,OFF,MODE_15W_6CORE,19,20,16,14,18,12,0,0,0,1277852,1277852,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,42.5,43.45,2748,2866
2021-06-23 01:56:20.351214,4:51:22.510000,OFF,MODE_15W_6CORE,13,15,12,9,11,16,0,0,0,1278016,1278016,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,43.0,43.15,2666,2843
2021-06-23 01:56:20.908061,4:51:23.060000,OFF,MODE_15W_6CORE,21,16,20,11,7,14,0,0,0,1278156,1278156,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,43.0,43.15,2502,2809
2021-06-23 01:56:21.435033,4:51:23.590000,OFF,MODE_15W_6CORE,23,25,23,23,19,14,2,0,0,1278332,1278332,0,150,OFF,OFF,OFF,0.0,42.0,42.5,44.5,43.0,43.1,2748,2804
2021-06-23 01:56:21.999516,4:51:24.150000,OFF,MODE_15W_6CORE,18,14,14,16,21,19,0,0,0,1278140,1278140,0,150,OFF,OFF,OFF,0.0,42.5,42.5,44.5,43.0,43.1,2748,2799
2021-06-23 01:56:22.567731,4:51:24.720000,OFF,MODE_15W_6CORE,22,13,14,12,14,17,0,0,0,1277632,1277632,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.3,2707,2792
2021-06-23 01:56:23.131071,4:51:25.290000,OFF,MODE_15W_6CORE,12,13,19,20,16,12,0,0,0,1278124,1278124,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.3,2584,2777
2021-06-23 01:56:23.678432,4:51:25.830000,OFF,MODE_15W_6CORE,19,20,14,14,18,14,0,0,0,1276920,1276920,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,42.5,43.45,2625,2767
2021-06-23 01:56:24.236133,4:51:26.390000,OFF,MODE_15W_6CORE,20,25,16,22,20,17,0,0,0,1277864,1277864,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.45,2871,2773
2021-06-23 01:56:24.777565,4:51:26.930000,OFF,MODE_15W_6CORE,21,15,14,20,16,14,0,0,0,1278408,1278408,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.25,2748,2772
2021-06-23 01:56:25.327270,4:51:27.480000,OFF,MODE_15W_6CORE,15,13,14,13,16,12,0,0,0,1278372,1278372,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,42.5,43.25,2666,2766
2021-06-23 01:56:25.882570,4:51:28.040000,OFF,MODE_15W_6CORE,14,16,18,12,16,15,0,0,0,1277688,1277688,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.3,2625,2758
2021-06-23 01:56:26.442876,4:51:28.600000,OFF,MODE_15W_6CORE,15,21,9,20,10,15,0,0,0,1278072,1278072,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,43.0,43.3,2584,2750
2021-06-23 01:56:27.039696,4:51:29.200000,OFF,MODE_15W_6CORE,20,24,17,18,16,18,0,0,0,1278252,1278252,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.25,2748,2750
2021-06-23 01:56:27.579477,4:51:29.730000,OFF,MODE_15W_6CORE,26,20,16,14,14,17,0,0,0,1278592,1278592,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.25,2789,2751
2021-06-23 01:56:28.115160,4:51:30.270000,OFF,MODE_15W_6CORE,15,13,18,16,16,9,0,0,0,1278092,1278092,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.5,43.0,43.45,2748,2751
2021-06-23 01:56:28.635578,4:51:30.790000,OFF,MODE_15W_6CORE,10,20,13,15,14,9,25,0,0,1277868,1277868,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,43.0,43.45,2625,2746
2021-06-23 01:56:29.217723,4:51:31.370000,OFF,MODE_15W_6CORE,22,16,16,19,15,19,0,0,0,1277660,1277660,0,150,OFF,OFF,OFF,0.0,42.5,43.0,44.0,43.0,43.3,2707,2744
