1 6 _ 5 8 _ 0 5 _ 0 8 8 5 4 3 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 0 5 _ 4 5 3 4 3 0 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 0 5 _ 8 6 8 5 0 9 ; 3 7 ; - 5 8 @ 1 M b p s
1 6 _ 5 8 _ 0 6 _ 3 1 5 7 4 4 ; 3 7 ; - 5 8 @ 1 M b p s
1 6 _ 5 8 _ 0 6 _ 6 8 0 7 6 4 ; 3 9 ; - 5 6 @ 1 M b p s
1 6 _ 5 8 _ 0 7 _ 4 7 1 6 2 5 ; 3 5 ; - 6 0 @ 1 M b p s
1 6 _ 5 8 _ 0 7 _ 8 0 3 2 9 5 ; 3 5 ; - 6 0 @ 1 M b p s
1 6 _ 5 8 _ 0 8 _ 3 1 5 8 6 5 ; 3 9 ; - 5 6 @ 1 M b p s
1 6 _ 5 8 _ 0 8 _ 6 8 7 0 4 8 ; 2 9 ; - 6 6 @ 1 M b p s
1 6 _ 5 8 _ 0 9 _ 0 7 7 1 0 4 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 0 9 _ 4 4 9 3 9 8 ; 4 1 ; - 5 4 @ 1 M b p s
1 6 _ 5 8 _ 1 0 _ 0 4 1 6 6 4 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 1 0 _ 4 1 0 6 8 2 ; 3 5 ; - 6 0 @ 1 M b p s
1 6 _ 5 8 _ 1 0 _ 7 6 3 7 4 4 ; 3 4 ; - 6 1 @ 1 M b p s
1 6 _ 5 8 _ 1 1 _ 1 4 6 3 1 6 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 1 1 _ 4 9 5 6 4 3 ; 3 5 ; - 6 0 @ 1 M b p s
1 6 _ 5 8 _ 1 1 _ 8 6 4 2 8 8 ; 3 9 ; - 5 6 @ 1 M b p s
1 6 _ 5 8 _ 1 2 _ 2 2 9 7 2 9 ; 3 5 ; - 6 0 @ 1 M b p s
1 6 _ 5 8 _ 1 2 _ 5 9 0 1 9 4 ; 3 9 ; - 5 6 @ 1 M b p s
1 6 _ 5 8 _ 1 2 _ 9 6 3 8 5 2 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 1 3 _ 3 1 7 8 2 0 ; 3 3 ; - 6 2 @ 1 M b p s
1 6 _ 5 8 _ 1 3 _ 6 7 8 9 2 6 ; 3 9 ; - 5 6 @ 1 M b p s
1 6 _ 5 8 _ 1 4 _ 0 3 4 9 8 9 ; 3 9 ; - 5 6 @ 1 M b p s
1 6 _ 5 8 _ 1 4 _ 4 5 3 9 1 1 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 1 4 _ 8 5 6 6 9 8 ; 4 1 ; - 5 4 @ 1 M b p s
1 6 _ 5 8 _ 1 5 _ 2 1 2 9 4 7 ; 3 7 ; - 5 8 @ 1 M b p s
1 6 _ 5 8 _ 1 5 _ 6 8 5 8 4 5 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 1 6 _ 0 9 4 2 9 5 ; 3 4 ; - 6 1 @ 1 M b p s
1 6 _ 5 8 _ 1 6 _ 4 5 7 7 5 2 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 1 6 _ 8 1 2 2 3 6 ; 3 4 ; - 6 1 @ 1 M b p s
1 6 _ 5 8 _ 1 7 _ 4 3 1 6 9 0 ; 3 7 ; - 5 8 @ 1 M b p s
1 6 _ 5 8 _ 1 7 _ 8 0 3 3 5 2 ; 3 0 ; - 6 5 @ 1 M b p s
1 6 _ 5 8 _ 1 8 _ 2 0 9 4 1 6 ; 3 9 ; - 5 6 @ 1 M b p s
1 6 _ 5 8 _ 1 8 _ 7 4 7 4 2 4 ; 4 2 ; - 5 3 @ 1 M b p s
1 6 _ 5 8 _ 1 9 _ 1 1 6 7 8 2 ; 3 8 ; - 5 7 @ 1 M b p s
1 6 _ 5 8 _ 1 9 _ 4 7 3 3 3 3 ; 2 9 ; - 6 6 @ 1 M b p s
1 6 _ 5 8 _ 1 9 _ 8 6 9 5 3 1 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 2 0 _ 2 5 2 6 1 5 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 2 0 _ 6 2 8 3 3 7 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 2 1 _ 0 3 0 3 2 7 ; 4 1 ; - 5 4 @ 1 M b p s
1 6 _ 5 8 _ 2 1 _ 5 6 0 6 0 1 ; 3 9 ; - 5 6 @ 1 M b p s
1 6 _ 5 8 _ 2 1 _ 9 2 5 5 0 6 ; 3 4 ; - 6 1 @ 1 M b p s
1 6 _ 5 8 _ 2 2 _ 2 7 8 1 2 3 ; 2 9 ; - 6 6 @ 1 M b p s
1 6 _ 5 8 _ 2 2 _ 6 5 4 2 6 8 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 2 3 _ 0 4 4 7 8 4 ; 4 1 ; - 5 4 @ 1 M b p s
1 6 _ 5 8 _ 2 3 _ 4 1 8 7 8 0 ; 4 1 ; - 5 4 @ 1 M b p s
1 6 _ 5 8 _ 2 3 _ 7 9 1 0 1 7 ; 2 9 ; - 6 6 @ 1 M b p s
1 6 _ 5 8 _ 2 4 _ 1 6 2 9 0 1 ; 3 8 ; - 5 7 @ 1 M b p s
1 6 _ 5 8 _ 2 4 _ 5 1 5 6 5 4 ; 3 8 ; - 5 7 @ 1 M b p s
1 6 _ 5 8 _ 2 5 _ 2 9 1 5 3 0 ; 4 0 ; - 5 5 @ 1 M b p s
1 6 _ 5 8 _ 2 5 _ 6 4 5 5 7 1 ; 4 1 ; - 5 4 @ 1 M b p s
1 6 _ 5 8 _ 2 5 _ 9 9 5 2 9 7 ; 3 7 ; - 5 8 @ 1 M b p s
1 6 _ 5 8 _ 2 6 _ 3 7 5 5 9 0 ; 4 2 ; - 5 3 @ 1 M b p s
