2 0 _ 2 6 _ 3 6 _ 5 0 3 4 8 5 ; 6 2 ; - 4 4 @ 1 M b p s
2 0 _ 2 6 _ 3 6 _ 8 5 8 9 9 9 ; 6 2 ; - 4 4 @ 1 M b p s
2 0 _ 2 6 _ 3 7 _ 2 1 2 6 7 7 ; 6 2 ; - 4 4 @ 1 M b p s
2 0 _ 2 6 _ 3 7 _ 5 6 0 1 4 9 ; 6 4 ; - 4 2 @ 1 M b p s
2 0 _ 2 6 _ 3 7 _ 9 1 3 0 8 9 ; 6 4 ; - 4 2 @ 1 M b p s
2 0 _ 2 6 _ 3 8 _ 2 7 3 9 1 3 ; 6 3 ; - 4 3 @ 1 M b p s
2 0 _ 2 6 _ 3 8 _ 6 5 5 8 4 5 ; 6 2 ; - 4 4 @ 1 M b p s
2 0 _ 2 6 _ 3 9 _ 0 3 6 0 9 6 ; 6 2 ; - 4 4 @ 1 M b p s
2 0 _ 2 6 _ 3 9 _ 3 9 0 9 5 8 ; 6 4 ; - 4 2 @ 1 M b p s
2 0 _ 2 6 _ 3 9 _ 7 5 1 2 1 1 ; 6 7 ; - 3 9 @ 1 M b p s
2 0 _ 2 6 _ 4 0 _ 1 0 0 4 9 2 ; 6 5 ; - 4 1 @ 1 M b p s
2 0 _ 2 6 _ 4 0 _ 4 4 8 1 2 4 ; 6 4 ; - 4 2 @ 1 M b p s
2 0 _ 2 6 _ 4 0 _ 8 2 7 0 4 2 ; 6 4 ; - 4 2 @ 1 M b p s
2 0 _ 2 6 _ 4 1 _ 3 8 3 6 1 7 ; 6 5 ; - 4 1 @ 1 M b p s
2 0 _ 2 6 _ 4 1 _ 7 4 6 2 5 2 ; 6 4 ; - 4 2 @ 1 M b p s
2 0 _ 2 6 _ 4 2 _ 1 1 0 0 4 2 ; 6 6 ; - 4 0 @ 1 M b p s
2 0 _ 2 6 _ 4 2 _ 4 6 3 4 0 6 ; 6 5 ; - 4 1 @ 1 M b p s
2 0 _ 2 6 _ 4 2 _ 8 2 7 1 8 5 ; 6 4 ; - 4 2 @ 1 M b p s
2 0 _ 2 6 _ 4 3 _ 1 8 0 1 9 9 ; 6 7 ; - 3 9 @ 1 M b p s
