2 0 _ 2 0 _ 2 5 _ 5 0 0 8 7 7 ; 5 4 ; - 4 7 @ 1 M b p s
2 0 _ 2 0 _ 2 5 _ 8 5 7 2 6 6 ; 5 2 ; - 4 9 @ 1 M b p s
2 0 _ 2 0 _ 2 6 _ 2 3 2 7 5 1 ; 5 1 ; - 5 0 @ 1 M b p s
2 0 _ 2 0 _ 2 6 _ 5 8 6 7 6 4 ; 5 3 ; - 4 8 @ 1 M b p s
2 0 _ 2 0 _ 2 6 _ 9 4 3 9 3 7 ; 5 3 ; - 4 8 @ 1 M b p s
2 0 _ 2 0 _ 2 7 _ 3 2 1 6 4 9 ; 5 2 ; - 4 9 @ 1 M b p s
2 0 _ 2 0 _ 2 7 _ 6 7 2 0 7 5 ; 5 1 ; - 5 0 @ 1 M b p s
2 0 _ 2 0 _ 2 8 _ 0 1 8 7 9 3 ; 5 3 ; - 4 8 @ 1 M b p s
2 0 _ 2 0 _ 2 8 _ 3 8 1 6 7 5 ; 5 1 ; - 5 0 @ 1 M b p s
2 0 _ 2 0 _ 2 8 _ 7 3 2 9 9 1 ; 5 4 ; - 4 7 @ 1 M b p s
2 0 _ 2 0 _ 2 9 _ 1 1 5 4 3 7 ; 5 2 ; - 4 9 @ 1 M b p s
