time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU,MTS FG,MTS BG,RAM,EMC,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,power cur,power avg
2021-06-23 03:37:09.659329,6:32:11.810000,OFF,MODE_15W_6CORE,18,16,13,8,11,9,0,0,0,1288084,1288084,0,150,OFF,OFF,OFF,50.98039215686274,40.0,40.5,42.0,40.5,40.95,3281,4931
2021-06-23 03:37:09.661444,6:32:11.820000,OFF,MODE_15W_6CORE,18,16,13,8,11,9,0,0,0,1288084,1288084,0,150,OFF,OFF,OFF,50.98039215686274,40.0,40.5,42.0,40.5,40.95,3281,4931
2021-06-23 03:37:10.214136,6:32:12.370000,OFF,MODE_15W_6CORE,40,62,23,29,33,29,0,1,1,1300420,1300420,0,150,OFF,OFF,OFF,50.98039215686274,40.0,40.5,42.0,40.0,40.95,3774,3774
2021-06-23 03:37:10.808505,6:32:12.960000,OFF,MODE_15W_6CORE,33,25,25,47,21,28,0,0,0,1295664,1295664,0,150,OFF,OFF,OFF,50.98039215686274,39.5,40.0,41.5,40.0,40.8,3569,3671
2021-06-23 03:37:11.312627,6:32:13.470000,OFF,MODE_15W_6CORE,17,26,20,26,17,23,0,0,0,1296980,1296980,0,150,OFF,OFF,OFF,50.98039215686274,40.0,40.0,42.0,40.0,40.8,3199,3514
2021-06-23 03:37:11.866212,6:32:14.020000,OFF,MODE_15W_6CORE,22,17,15,13,15,18,0,0,0,1296212,1296212,0,150,OFF,OFF,OFF,50.98039215686274,39.5,40.0,41.5,40.0,40.45,2789,3332
2021-06-23 03:37:12.410109,6:32:14.560000,OFF,MODE_15W_6CORE,32,29,23,25,22,27,0,0,0,1295220,1295220,0,150,OFF,OFF,OFF,50.98039215686274,39.5,40.0,41.5,40.0,40.45,2953,3256
2021-06-23 03:37:12.986984,6:32:15.140000,OFF,MODE_15W_6CORE,28,26,25,27,29,15,11,0,0,1295124,1295124,0,150,OFF,OFF,OFF,50.98039215686274,39.5,40.0,41.5,40.0,40.45,3158,3240
2021-06-23 03:37:13.487636,6:32:15.640000,OFF,MODE_15W_6CORE,33,30,38,47,75,35,17,1,1,1312836,1312836,0,150,OFF,OFF,OFF,50.98039215686274,39.5,40.0,42.0,40.0,40.45,3897,3334
2021-06-23 03:37:14.004375,6:32:16.160000,OFF,MODE_15W_6CORE,77,13,18,21,34,20,0,1,1,1330616,1330616,0,150,OFF,OFF,OFF,50.98039215686274,39.5,40.0,41.5,40.0,40.45,3733,3384
